Name of Medicine,Reference text,Dispensing Pack Size,Main Indications,Dose,Precaution/ Contraindication,Preferred use (OPD/ IPD),Class,Translated
Abhayarishta,AFI,200 ml,"Arsha, Agnimandya,
Udararoga, Vibandha",12 - 24 ml,NS,Both,A,"Piles, Indigestion, Digestive, Constipation"
Amritarishta,AFI,200 ml,"SarvaJvara, Jirna Jvara",12 - 24 ml,NS,Both,A,"Systematic fever, Chronic fever"
Aragvadharishta,AH,200ml,"Kandu, Tvak Vikara,
Vibandha",12 - 24 ml,NS,Both,A,"Itching, Dermatological, Constipation"
Aravindasava,AFI,200 ml,"Balaroga, Balakshaya,
Agnimandya, Aruchi",12 - 24 ml,NS,Both,A,"Pediatric disease, Weakness, Indigestion, Loss of appetite"
Arjunarishta/ Parthadyarishta,AFI,200 ml,"Hridroga, Hriddrava, Hrid- daurbalya, Moha,
Murchha",12 - 24 ml,NS,Both,A,"Heart disease, Palpitations, Cardiac weakness, Delirium or confusion, Fainting or unconsciousness"
Ashokarishta,AFI,200 ml,"Asrigdara, Shveta
Pradara,  Yoniroga",12 - 24 ml,NS,Both,A,"Excessive or abnormal uterine bleeding, White discharge (Leucorrhea), Gynecological disorders"
"Ashvagandharisht
a",AFI,200 ml,"Murchha, Apasmara,
Shosha, Unmada, Karshya",12 - 24 ml,NS,Both,A,"Fainting or unconsciousness, Epilepsy, Emaciation or tissue wasting, Insanity or mental disorder, Extreme leanness or malnutrition"
Balarishta,AFI,200 ml,"Daurbalya, Vataroga,
Agnimandya, Karshya",12 - 24 ml,NS,Both,A,"Weakness, Diseases caused by Vata dosha imbalance, Indigestion or weak digestive fire, Emaciation or excessive thinness"
Chandanasava,AFI,200 ml,"Shukrameha,
Mutrakriccha, Hridroga",12 - 24 ml,NS,Both,A,"Excessive or abnormal discharge of semen, Difficulty or painful urination (Dysuria), Heart disease"
Dashamularishta,AFI,200 ml,"Vata Vyadhi, Daurbalya,
Prasavottara roga",12 - 24 ml,NS,Both,A,"Neurological and musculoskeletal disorders caused by Vata dosha imbalance, Weakness or lack of strength, Postpartum disorders affecting the mother after childbirth"
Drakshasava,AFI,200 ml,"Aruchi, Hridroga, Pandu
Duarbalya, Kshaya",12 - 24 ml,NS,Both,A,"Loss of appetite, Heart disease, Anemia or pale complexion due to blood deficiency, Weakness or fatigue, Wasting or depletion of body tissues"
Draksharishta,AFI,200 ml,"Agnimandya, Kasa, Shvasa, Urahkshata, Kshaya, Malavarodha,
Daurbalya",12 - 24 ml,NS,Both,A,"Weak digestive fire, Cough, Breathing disorders or dyspnea (respiratory distress), Chest injury or lung damage, Wasting or emaciation, Constipation or obstruction of bowel movements, Weakness or fatigue"
Jirakadyarishta,AFI,200 ml,"Sutikaroga, Agnimandya,
Atisara,Grahaniroga",12 - 24 ml,NS,Both,A,"Postpartum disorders, Indigestion, Diarrhea, Malabsorption"
Kanakasava,AFI,200 ml,"Kasa, Shvasa, Rajayakshma,
Kshatakshina",12 - 24 ml,NS,Both,A,"
Cough, Breathing disorders (Dyspnea), Tuberculosis, Weakness due to injury or tissue depletion"
Kumaryasava,AFI,200 ml,"Rajodushti, Krichhrartav, Paktishula,
Parinamashula,",12 - 24 ml,NS,Both,A,"Menstrual disorders,Painful menstruation (Dysmenorrhea), Abdominal pain due to indigestion, Peptic ulcer pain"
Kutajarishta,AFI,200 ml,"GrahanirogaÂ¸ Pravahika,
Raktatisara, Agnimandya",12 - 24 ml,NS,Both,A,"Malabsorption disorder, Dysentery, Bloody diarrhea, Indigestion"
Khadirarishta,AFI,200 ml,"Tvak Roga, Kushtha,
Krimi, Arbuda",12 - 24 ml,NS,Both,A,"Skin diseases, Leprosy or chronic skin disorders, Parasitic infections, Tumor or cancer"
"Lodhrasava/Rodh
rasava",AFI,200 ml,"Prameha, Pradara, Arsha
Garbhasayaroga,",12 - 24 ml,NS,Both,A,"Diabetes or urinary disorders, Excessive vaginal discharge (Leucorrhea), Hemorrhoids (Piles), Uterine disorders







"
Lohasava,AFI,200 ml,"Pandu, Kamala, Shotha,
Hridroga, Daurbalya",12 - 24 ml,NS,Both,A,"Anemia, Jaundice Edema or swelling, Heart disease, Weakness or fatigue"
Mustakarishta,AFI,200 ml,"Agnimandya, Ajirna, Grahaniroga, Visuchika",12 - 24 ml,NS,Both,A,"Indigestion, Dyspepsia, Malabsorption, Gastroenteritis"
Pippalyadyasava,AFI,200 ml,"Grahaniroga, Agnimandya, Gulma,
Udararoga,",12   -   24   ml,NS,Both,A,"Malabsorption, Indigestion, Abdominal tumor, Abdominal disease







"
Rohitakarishta,AFI,200 ml,"Pliha, Udararoga, Gulma,
Kamala",12   -   24   ml,NS,Both,A,"Spleen disorder, Abdominal disease, Abdominal tumor or lump, Jaundice"
Sarasvatarishta,AFI,200 ml,"Apasmara, Manasa Dosha, Smritibhransha,
Udvega",12   -   24   ml,NS,Both,A,"Epilepsy, Mental disorder, Memory loss, Anxiety"
Ushirasava,AFI,200 ml,"Pittajaroga, Daha, Trisha,
Pittaja Netravyadhi",12   -   24   ml,NS,Both,A,"Disorders caused by Pitta imbalance, Burning sensation, Excessive thirst, Eye disease due to Pitta imbalance







"
Vasakasava,AFI,200 ml,"Kasa, Shvasa, Raktapitta",12   -   24   ml,NS,Both,A,"Cough, Breathing disorder, Bleeding disorder "
Punarnavasava,AFI,200 ml,"Shotha, Pliha- Yakridroga,
Mutraroga",12   -   24   ml,NS,Both,A,"Edema (Swelling), Spleen and liver disorders, Urinary disorders"
"Arka  Yavani/Arka
Ajvayana",AFI,50 ml,"Trikshula, Agnimandya,
Anaha,",10 -  25 ml,NS,Both,B,"Lower back pain, Indigestion, Abdominal bloating"
"Arka Shatpushpa/
Mishr eyarka",AFI,50 ml,"Mandagni, Adhamana,
Shula, Krimi,Yonishula",10 -  25 ml,NS,Both,B,"Weak digestion, Abdominal distension, Pain, Parasites, Vaginal pain"
Arka Pudina,AFI,50 ml,"Chhardi, Ajirna,
Udarashula, Agnimandya",10 -  25 ml,NS,Both,B,"Vomiting, Indigestion, Abdominal pain, Weak digestion"
"Agastya Haritaki
/ Agastya Rasayana",AFI,"100
gm","Hikka, Kasa, Shvasa, Rasayana",5 -   15 gm,NS,Both,C,"Hiccups, Cough, Breathing disorder, Rejuvenation therapy"
Bilvadi Leha,AFI,"100
gm","Jirna Pravahika, Aruchi,
Agnimandya, Praseka, Chhardi",10 - 50 gm,NS,Both,C,"Chronic dysentery, Loss of appetite, Indigestion, Excessive salivation, Vomiting"
Brahama Rasayana,AFI,"100
gm","Manodaurbalya, Jara,
Smritibhransha",10-15 gm,NS,Both,C,"Mental weakness, Aging, Memory loss







"
Chitraka Haritaki,AFI,"100
gm","Pinasa, Kasa, Shvasa,",10 - 50 gm,"Pregnancy, Pitta Prakriti, Paittika
Roga",Both,C,"Runny nose, Cough, Breathing disorder"
"Chyavanprash
Avaleha",AFI,"100
gm","Kasa,Shvasa, Rasayana",12-24 gm,NS,Both,C,"Cough, Breathing disorder, Rejuvenation therapy"
Drakshavaleha,AFI,"100
gm","Pandu, Kamala, Halimaka, Daurbalya,
Kshaya",6-12 gm,NS,Both,C,"Anemia, Jaundice, Severe jaundice, Weakness, Emaciation"
"Haridrakhanda
Paka",AFI,"100
gm","Shitapitta, Kandu
Visphota, Dadru,Udarda, Kotha",6 gm,NS,Both,C,"Cold-induced urticaria, Itching, Blisters, Ringworm, Hives, Skin rash"
Kutajavaleha,AFI,"100
gm","Atisara, Grahaniroga,
Pravahika",6 -12 gm,NS,Both,C,"Diarrhea, Malabsorption disorder, Dysentery"
Kalyanak Guda,AFI,"100
gm","Udararoga, Gulma,
Bhagandar, Arsha",6-12 gm,NS,Both,C,"Abdominal disease, Abdominal lump, Anal fistula, Hemorrhoids"
Kantakaryavaleha,AFI,"100
gm","Hikka, Kasa, Shvasa, Jirna Pratishaya,
Parshvashula",6-12 gm,NS,Both,C,"Hiccups, Cough, Breathing disorder, Chronic sinusitis, Side pain"
Kushmandaka Rasayana,AFI,"100
gm","Kasa, Shvasa, Urahkshata, Kshaya,
Raktapitta, Amlapitta",6-12 gm,NS,Both,C,"Cough, Breathing disorder, Chest injury, Emaciation, Bleeding disorder, Acid reflux"
Puga Khanda/ Supari Paka,AFI,"100
gm","Vandhyaroga, Pradara, Somaroga, Garbhadosha,
Daurbalya",6-12 gm,NS,Both,C,"Infertility disorder, Excessive vaginal discharge, Menstrual disorder, Pregnancy complications, Weakness"
Saubhagyashunthi Paka,AFI,"100
gm","Prasavottara Lakshana, Sutikaroga,
Agnimandya,",10-50 gm,NS,Both,C,"Postpartum symptoms, Postnatal disorders, Indigestion"
Shatavariguda,AFI,"100
gm","Rajodosha, Yonidosha, Asrigdara, Padadaha,
Karshya",6 -12 gm,NS,Both,C,"Menstrual disorder, Vaginal disorder, Excessive uterine bleeding, Burning sensation in feet, Emaciation"
Vasavaleha,AFI,"100
gm","Kasa , Shvasa, Jvara,
Parshvashula",6-12 gm,Pregnancy,Both,C,"Cough, Breathing disorder, Fever, Side pain"
Vyaghri Haritaki,AFI,"100
gm","Kasa, Shvasa,
Svarakshaya, Pratishyaya, Pinasa",6-12 gm,Pregnancy,Both,C,"Cough, Breathing disorder, Hoarseness of voice, Common cold, Runny nose"
Punarnavadi Kashayam,AFI,"100
gm","Jvara, Kasa, Shotha",6-12 gm,NS,Both,D,"Fever, Cough, Swelling"
Vyaghryadi Kashayam,AFI,"100
gm","Jvara, Kasa, Pinasa",6-12 gm,NS,Both,D,"Fever, Cough, Runny nose"
Dashamula Kvatha Churna,AFI,"100
gm","Jvara, Sutikadosha, Shula, Shotha, Vatavyadhi",25-50 ml,"Rasaksh aya, Bahumu
trata",Both,D,"Fever, Postpartum disorder, Pain, Swelling, Neuromuscular disorder"
"Dashmula Katutraya
Kvatha Churna",AFI,"100
gm","Shvasa,Kasa,Parshva
shula, Vataroga",25-50 ml,NS,Both,D,"Breathing disorder, Cough, Side pain, Neurological disorder"
"Dhanyapanchaka
Kashaya Churna",AFI,"100
gm","Amashula, Amatisara,
Agnimandya, Aruchi",25-50 ml,NS,Both,D,"Abdominal pain, Dysentery, Indigestion, Loss of appetite"
"Guduchyadi Kashaya
Churna",AH,100gm,"Agnimandhya, Pitta
Dushti, Jvara",25-50 ml,NS,Both,D,"Indigestion, Pitta imbalance, Fever"
"Indukantam
Kashayam Churna",SY,"100
gm","Vata Roga,Kshaya",25-50 ml,NS,Both,D,"Neurological and musculoskeletal disorders, Wasting or emaciation"
Pancha-valkala Kashaya Churna,SS,"100
gm","Vranashotha,Upadan sha, Shveta Pradara","100 ml Kvatha for washing wound/
vaginal douche",NS,Both,D,"Wound inflammation, Venereal disease, White discharge"
Pathyadi Kvatha(Shadanga) Churna,AFI,"100
gm","Shiroroga, Bhru- shankha-Karna Shula, Ardhavbhedaka,
Suryavarta",25-50 ml,"Chhardi, Atisara, Ativirechanajanya Rasakshaya, Vataprakopa",Both,D,"Head disease, Eyebrow-temple-ear pain, Migraine, Sun-induced headache"
Phalatrikadi Kvatha Churna,AFI,"100
gm","Kamala, Pandu",25-50 ml,"Chhardi, Atisara, Ativirec hana janya Rasaksh aya, Vatapra
kopa",Both,D,"Jaundice, Anemia"
Rasnasaptaka Kashaya Churna,AFI,"100
gm","Janghashula, Urushula, Parshvashula, Trikshula, Prishashula",25-50 ml,"Concom itant use of Eranda Taila in
Garbhini",Both,D,"Calf pain, Thigh pain, Side pain, Lower back pain, Back pain"
Shadanga Kvatha Churna,AFI,"100
gm","Trishna,Jvara",25-50 ml,"Nausea
due to bitterness",Both,D,"Thirst, Fever"
"Trinapanchamula
Kvatha Churna",AFI,"100
gm",Mutrakricchra,25-50 ml,NS,Both,D,Painful urination
Varunadi Kvatha Churna,AFI,"100
gm","Ashmari, Mutrasthila",25-50 ml,NS,Both,D,"Urinary stones, Bladder stone"
"Vasaguduchyadi
Kashaya Churna",AH,100gm,"Pandu, Raktapitta",25-50 ml,NS,Both,D,"Anemia, Bleeding disorder"
Amritadi Guggulu,BR,10 gm,"Vata Rakta,
Dushtavrana, Charma Vikara","500 mg - 1
gm","Long term
use in pregnancy",Both,E,"Gout, Chronic wound, Skin disorder"
Gokshuradi Guggulu,AFI,10 gm,"Prameha, Mutrakricchra, Mutraghata, Ashmari,
Pradara","500 mg  - 1
gm",Long term use in pregnancy,Both,E,"Diabetes, Painful urination, Urinary retention, Urinary stones, Excessive vaginal discharge"
Kanchanara Guggulu,AFI,10 gm,"Galaganda, Gandamala, Apachi, Arbuda, Granthi","500 mg  - 1
gm","Long term
use in pregnancy",Both,E,"Goiter, Lymph node swelling, Scrofula, Tumor, Cyst"
Kaishora Guggulu,AFI,10 gm,"Vatashonita, Pramehapidika, Vrana,
Kustha",Up - 3 gm,"Long term use in
pregnancy",Both,E,"Gout, Diabetic ulcers, Wound, Skin disease"
Lakshadi Guggulu,AFI,10 gm,"Asthibhagna, Asthichyuti, Asthiruja",Up - 3 gm,"Long term
use in pregnancy",Both,E,"Bone fracture, Joint dislocation, Bone pain"
Navak Guggulu,BR,10 gm,"Sthaulya, Sandhigata Vata",500 mg  - 1 gm,"Long term use in
pregnancy",Both,E,"Obesity, Osteoarthritis"
Rasna Guggulu,SS,10 gm,"Gridhrasi, Amavata",500 mg  - 1 gm,"Long term use in
pregnancy",Both,E,"Sciatica, Rheumatoid arthritis"
Simhanada Guggulu,AFI,10 gm,"Amavata, Vatarakta, Sandhi Shula,
Agnimandya",Up to 3 gm in divided doses,Pregnancy,Both,E,"Rheumatoid arthritis, Gout, Joint pain, Indigestion"
"Saptavinshati
Guggulu",AFI,10 gm,"Parshvashula,Kasa
Shvasa, Hritshula","Up to 3 gm in divided
doses",Pregnancy,Both,E,"Side pain, Cough, Breathing disorder, Chest pain"
Triphala Guggulu,AFI,10 gm,"Bhagandara, Arsha, Nadi Vrana, Gulma, Shotha",Up to 3 gm in divided doses,"Pregnancy Chronic or recurrent
diarrhoea",Both,E,"Anal fistula, Hemorrhoids, Sinus ulcer, Abdominal lump, Swelling







"
"Trayodashanga
Guggulu",AFI,10 gm,"Gridhrasi,
Sandhigraha, Katigraha","Up to 3 gm in
divided doses",Pregnancy,Both,E,"Sciatica, Joint stiffness, Lower back stiffness"
Punarnava Guggulu,AFI,10 gm,"Vatarakta, Vriddhiroga, Gridhrasi,Vastigatas
hula, Amavata",Up to 3 gm in divided doses,Pregnancy,Both,E,"Gout, Prostate disorder, Sciatica, Bladder pain, Rheumatoid arthritis"
Yogaraja Guggulu,AFI,10 gm,"Amavata, Agnimandya, Sandhigatavata",Up to 3 gm in divided doses,Pregnancy,Both,E,"Rheumatoid arthritis, Indigestion, Osteoarthritis"
Brahmi Ghrita,AFI,100 gm,"Apasmara, Unmada, Smritikshaya,
Budhidaurbalya",10 - 15 gm,NS,Both,F,"Epilepsy, Insanity, Memory loss, Intellectual weakness







"
Dadimadi Ghrita,AFI,100 gm,"Pandu,  Parinamshula,
Agnimandya",10-15 gm,NS,Both,F,"Anemia, Peptic ulcer, Indigestion"
Guggulutiktaka Ghrita,AH,100gm,Vata Roga,5-10 gm,NS,Both,F,Neuromuscular and joint disorders
Jathyadi Ghrita,AH,100gm,"Vrana, Dagdha Vrana",To be applied on affected part,NS,Both,F,"Wound, Burn wound"
Kalyanaka Ghrita,AFI,100 gm,"Bhutonmada, Apsmara,Balagraha, Visavikara, Garavisha,
Smritidaurbalya",10-15 gm,NS,IPD,F,"Possession disorder, Epilepsy, Pediatric seizure disorder, Poisoning disorder, Chronic poisoning, Memory weakness"
"Kshirashatpala
Ghrita",CS,100 gm,"Gulma, Grahaniroga,
Pliha",Up to 50 gm,NS,IPD,F,"Abdominal lump, Malabsorption disorder, Spleen disorder







"
Panchatikta Ghrita,AFI,100 gm,"Dushtavrana, Tvak
Vikara",5-10 gm,NS,Both,F,"Chronic wound, Skin disorder"
Phala Ghrita,AFI,100 gm,Yonivyapat,10-15 gm,NS,IPD,F,Gynecological disorders
Shatavaryadi Ghrita,SY,100 gm,Mutraghata,10-15 gm,NS,IPD,F,Urinary retention or obstruction
Sukumar Ghrita,AFI,100 gm,"Vidvibandha, Udararoga, Gulma,
Yonishula,  Pliharoga",10-15 gm,NS,Both,F,"Constipation, Abdominal disease, Abdominal lump, Vaginal pain, Spleen disorder"
Indu kanta Ghrita,AFI,100 gm,"Shula, Udara, Vishama
Jvara",10-15 gm,NS,IPD,F,"Pain, Abdominal disorder, Irregular fever"
Tiktaka Ghrita,AH,100 gm,Tvakroga,10-15 gm,NS,Both,F,Skin disease
Triphala Ghrita,AFI,100 gm,"Kamala, Timira, Netraroga, Visarpa,
Khalitya",10-15 gm,NS,Both,F,"Jaundice, Cataract, Eye disease, Erysipelas (Severe skin infection), Hair loss"
"Ajamodadi
Churna",AFI,25 gm,"Shula, Gridhrasi,
Amvata",3-6 gm,NS,,G,"Pain, Sciatica, Rheumatoid arthritis"
Avipattikara Churna,AFI,50 gm,"Amlapitta,
Vidagdhajirna",3-6 gm,NS,,G,"Acid reflux or hyperacidity, Acidic indigestion







"
"Balachaturbhadra
Churna",AFI,25 gm,"Jvara, Atisara, Bala
Shosha",250 - 500 mg,NS,,G,"Fever, Diarrhea, Pediatric emaciation"
Bilvadi Churna,CA(U),50 gm,"Shotha,Shula Yukta
Bradhna",3-6 gm,NS,,G,"Swelling, Painful hernia"
Dadimastak Churna,AFI,50 gm,"Grahaniroga, Atisara,
Aruchi",3-6 gm,NS,,G,"Malabsorption disorder, Diarrhea, Loss of appetite"
"Dashanasanskara
Churna",AFI,50 gm,"Mukha Roga, Danta
Roga",Use as tooth powder,NS,,G,"Oral disease, Dental disease"
Eladi Churna,AFI,25 gm,"Kasa, Shvasa",2 -4 gm,NS,,G,"Cough, Breath"
"Hingvashtaka
Churna",AFI,50 gm,"Agnimandya, Shula,
Gulma,Vataroga",2- 4 gm,NS,,G,"Indigestion, Pain, Abdominal Lump, Vata Disorder"
Lavanabhaskara Churna/ Bhaskarlavan churna,AFI,50 gm,"Agnimandya, Gulma, Ajirna, Grahaniroga, Vatakaphajaroga,",3-6 gm,"Shotha, Jalodara, hyperten sion, long
term use",,G,"Indigestion, Abdominal Lump, Dyspepsia, Malabsorption Syndrome, Vata-Kapha Disorder"
"Nisha-Amalaki
Churna",AH,50 gm,"Prameha, Madhumeha",3-6 gm,NS,,G,"Diabetes, Diabetes Mellitus"
Pushyanuga Churna,AFI,25 gm,"Raktapradara,
Shwetapradara, Raktarsha",2-3 gm,NS,,G,"Menorrhagia, Leukorrhea, Hemorrhoids"
Panchanimba Churna,AFI,25 gm,"Kshudrakushtha, Mahakushtha,
Raktadushti",3- 5 gm,NS,,G,"Minor skin diseases, Major skin diseases, Blood impurity"
Sitopaladi Churna,AFI,25 gm,"Shvasa, Kasa, Kshaya,
Urdhvaga  Raktapitta",2-3gm,NS,,G,"Breathing disorder, Cough, Tuberculosis, Upward bleeding disorder"
Talishadya Churna,AFI,25 gm,"Kasa, Shvasa,
Pratishyaya, Jvara",2-4 gm,NS,,G,"Cough, Breathlessness, Common Cold, Fever"
Trikatu Churna,AFI,25 gm,"Arochaka, Ama, Agnimandya",1-2 gm,"Paittika Vikara or Prakriti, Raktaj Roga, pregnancy
, long
term use",,G,"Loss of Appetite, Undigested Food, Weak Digestion
"
Triphala Churna,AFI,50 gm,"Anaha, Prameha,
Netraroga",3-6 gm,"Dehydra
-tion",,G,"Bloating, Diabetes, Eye Diseases"
Jatiphaladya Churna,AFI,25 gm,"Atisara, Pravahika, Vatashlaismika Pratishyaya",1-3 gm,"Infantile, diarrhea, long term
use",,G,"Diarrhea, Dysentery, nasal inflammation"
